Name,Price,Price/KG,URL
Lemon Each,1.29,$1.29 per 1 each,https://www.aldi.com.au/product/000000000000364043
Red Seedless Grapes Loose,11.69,$12.99 per 1 kg,https://www.aldi.com.au/product/000000000000364044
Strawberries 250g,1.99,$7.96 per 1 kg,https://www.aldi.com.au/product/000000000000364045
Garlic 3 Pack,2.99,$1.00 per 1 each,https://www.aldi.com.au/product/000000000000380071
Garlic Loose,1.8,$29.99 per 1 kg,https://www.aldi.com.au/product/000000000000380072
Ginger Loose,3.0,$24.99 per 1 kg,https://www.aldi.com.au/product/000000000000380075
Gold Kiwifruit Loose,1.27,$8.49 per 1 kg,https://www.aldi.com.au/product/000000000000380078
Gold Sweet Potatoes Loose,1.8,$3.99 per 1 kg,https://www.aldi.com.au/product/000000000000380080
Gourmet Tomatoes 500g,4.99,$9.98 per 1 kg,https://www.aldi.com.au/product/000000000000380083
Gourmet Tomatoes Loose,0.84,$5.99 per 1 kg,https://www.aldi.com.au/product/000000000000380084
Granny Smith Apples 1kg,4.99,$4.99 per 1 kg,https://www.aldi.com.au/product/000000000000380085
Granny Smith Apples Loose,0.85,$4.99 per 1 kg,https://www.aldi.com.au/product/000000000000380086
Green Capsicum Loose,1.37,$5.49 per 1 kg,https://www.aldi.com.au/product/000000000000380088
Hass Avocado Each,1.69,$1.69 per 1 each,https://www.aldi.com.au/product/000000000000380092
Hass Avocados 5 Pack,4.99,$1.00 per 1 each,https://www.aldi.com.au/product/000000000000380094
Honey Murcott Mandarins 750g,3.29,$4.39 per 1 kg,https://www.aldi.com.au/product/000000000000380098
Iceberg Bagged Lettuce Each,2.99,$2.99 per 1 each,https://www.aldi.com.au/product/000000000000380100
THE FRESH SALAD CO Iceberg Blend Salad Mix 300g,2.49,$8.30 per 1 kg,https://www.aldi.com.au/product/000000000000380101
THE HERB GARDEN Jalapeno Chillies 80g,2.99,$0.37 per 10 g,https://www.aldi.com.au/product/000000000000380106
Kale Bunch,3.49,$3.49 per 1 each,https://www.aldi.com.au/product/000000000000380109
Kanzi Apples 800g,4.99,$6.24 per 1 kg,https://www.aldi.com.au/product/000000000000380113
Kanzi Apples Loose,1.14,$6.49 per 1 kg,https://www.aldi.com.au/product/000000000000380114
Kensington Pride Mango 4 Pack,9.99,$2.50 per 1 each,https://www.aldi.com.au/product/000000000000380116
Kensington Pride Mango Each,3.29,$3.29 per 1 each,https://www.aldi.com.au/product/000000000000380117
Kent Pumpkins Loose,2.49,$2.49 per 1 kg,https://www.aldi.com.au/product/000000000000380119
Lebanese Cucumbers 600g,4.99,$8.32 per 1 kg,https://www.aldi.com.au/product/000000000000380125
Lebanese Cucumbers Loose,1.36,$6.49 per 1 kg,https://www.aldi.com.au/product/000000000000380126
Leek Each,2.49,$2.49 per 1 each,https://www.aldi.com.au/product/000000000000380127
Lemons 5 Pack,4.69,$0.94 per 1 each,https://www.aldi.com.au/product/000000000000380128
Lime Each,1.49,$1.49 per 1 each,https://www.aldi.com.au/product/000000000000380130
Limes 400g,4.99,$12.48 per 1 kg,https://www.aldi.com.au/product/000000000000380131
Mandarins 1kg,2.99,$2.99 per 1 kg,https://www.aldi.com.au/product/000000000000380135
THE FRESH SALAD CO Mexican Style Salad Kit 400g,4.99,$12.48 per 1 kg,https://www.aldi.com.au/product/000000000000380142
Microwave Potatoes 500g,2.69,$5.38 per 1 kg,https://www.aldi.com.au/product/000000000000380144
Mini Capsicums 175g,4.99,$28.51 per 1 kg,https://www.aldi.com.au/product/000000000000380146
Mini Roma Tomatoes 250g,3.29,$13.16 per 1 kg,https://www.aldi.com.au/product/000000000000380148
