Name,Price,Price/KG,URL
Cucumber Lebanese Each,1.05,$1.05 / each,https://www.harrisfarm.com.au/collections/fruit-and-veg/products/cucumber-lebanese-1781
Broccoli Head Each,2.4,$2.40 / each,https://www.harrisfarm.com.au/collections/fruit-and-veg/products/broccoli-1161
Banana Premium Each,1.75,$1.75 / each,https://www.harrisfarm.com.au/collections/fruit-and-veg/products/bananas-loose-4201
Capsicum Red Each,1.98,$1.98 / each,https://www.harrisfarm.com.au/collections/fruit-and-veg/products/capsicums-red-kg-1331
Strawberries 250g,2.0,$8.00 / kg,https://www.harrisfarm.com.au/collections/fruit-and-veg/products/strawberries-large-punnet-4322
Blueberries 125g,2.9,$23.20 / kg,https://www.harrisfarm.com.au/collections/fruit-and-veg/products/blueberries-4232
Raspberries 125g,4.5,$36.00 / kg,https://www.harrisfarm.com.au/collections/fruit-and-veg/products/raspberries-punnet-4302
Avocado Hass Small Each,1.5,$1.50 / each,https://www.harrisfarm.com.au/collections/fruit-and-veg/products/avocadoes-small-4150
Carrots Medium 1kg,2.49,$2.49 / kg,https://www.harrisfarm.com.au/collections/fruit-and-veg/products/carrots-medium-bag-1382
Tender Stem Baby Broccoli Bunch,2.99,$2.99 each,https://www.harrisfarm.com.au/collections/fruit-and-veg/products/tender-stem-baby-broccoli-1152
Zucchini Black Imperfect Each,0.66,$0.66 / each,https://www.harrisfarm.com.au/collections/fruit-and-veg/products/zucchini-black-imperfect-pick-value-range-each-23061
Tomato Truss 5 Pieces,5.53,$5.53 each,https://www.harrisfarm.com.au/collections/fruit-and-veg/products/tomato-truss-2981
Avocado Imperfect Each,1.12,$1.12 each,https://www.harrisfarm.com.au/collections/fruit-and-veg/products/avocados-imperfect-pick-value-range-24151
Onion Brown Each,1.12,$1.12 / each,https://www.harrisfarm.com.au/collections/fruit-and-veg/products/onion-brown-br-each-2411
Banana Each,1.08,$1.08 / each,https://www.harrisfarm.com.au/collections/fruit-and-veg/products/banana-4211
