Category|FormatObject|CategoryID
poultry-meat-seafood|{"name":"Poultry, Meat & Seafood"}|1_D5A2236
fruit-veg|{"name":"Fruit & Veg"}|1-E5BEE36E
dairy-eggs-fridge|{"name":"Dairy, Eggs & Fridge"}|1_6E4F4E4
bakery|{"name":"Bakery"}|1_DEB537E
deli|{"name":"Deli"}|1_3151F6F
pantry|{"name":"Pantry"}|1_39FD49C
international-foods|{"name":"International Foods"}|1_F229FBE
snacks-confectionery|{"name":"Snacks & Confectionery"}|1_717445A
drinks|{"name":"Drinks"}|1_5AF3A0A
freezer|{"name":"Freezer"}|1_ACA2FC2
