Name,Price,Price / KG,URL
Woolworths Heart Smart Extra Lean Beef Mince 500g,10.0,$20.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/577860
Woolworths RSPCA Approved Chicken Breast Fillet Min. 300g,12.0,$12.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/25734
Woolworths RSPCA Approved Chicken Thigh Fillet,15.0,$15.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/77038
D'Orsogna Champagne Leg Ham Shaved From The Deli,23.5,$23.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/129693
Woolworths Beef Mince 1kg,12.0,$12.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/577864
Woolworths Lean Beef Mince 1kg,17.0,$17.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/577862
D'Orsogna Ham Leg Triple Smoked 97% Fat Free Shaved,23.0,$23.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/175734
Raw Prawns Tiger Extra Large,,,https://www.woolworths.com.au/shop/productdetails/786199
Woolworths RSPCA Approved Chicken Breast Fillet 1.5kg - 1.7kg,14.45,$8.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/969723
Woolworths Lean Beef Mince 500g,9.5,$19.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/577861
D'Orsogna Plain Streaky Bacon From The Deli,23.0,$23.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/746376
D'Orsogna Honey Ham Shaved From The Deli,26.0,$26.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/103449
Woolworths Beef Mince 500g,7.0,$14.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/577863
Woolworths 10 Beef Sausages 550g,6.5,$11.82 / 1KG,https://www.woolworths.com.au/shop/productdetails/901649
Market Value 26 Thin BBQ Sausages 1.8kg,11.0,$6.11 / 1KG,https://www.woolworths.com.au/shop/productdetails/901719
Woolworths Salmon Tasmanian Atlantic Fillets Skin On,44.0,$44.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/95171
Hans Middle Bacon Rashers From the Deli,16.0,$16.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/714680
D'Orsogna Shortcut Bacon,21.0,$21.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/71841
Chicken Sandwich Schnitzel each,1.3,$1.30 / 1EA,https://www.woolworths.com.au/shop/productdetails/666237
Deli Leg Ham Shaved From The Deli,19.5,$19.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/130276
Woolworths Beef Porterhouse Steak & Butter 400g,14.0,$35.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/243050
Woolworths Pork & Beef Mince 500g,6.5,$13.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/239598
Moira Mac's Oven Roasted Chicken Breast Shredded From The Deli,29.5,$29.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/785788
Woolworths Beef Stir Fry 500g,12.0,$24.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/531015
Don Cocktail Frankfurts From The Deli,9.5,$9.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/741794
Macro Chicken Breast Fillets Free Range 700g - 1.4kg,18.9,$13.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/700228
Bertocchi Premium Boneless Leg Ham Shaved From The Deli,27.5,$27.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/353946
Ingham's Oven Roasted Turkey Breast Shaved From The Deli,29.0,$29.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/27316
Macro Free Range Chicken Thigh Fillet 800g - 1.1kg,17.6,$16.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/764859
Woolworths Lean Pork Mince 500g,6.0,$12.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/582608
Woolworths Beef Scotch Fillet Steak 170g,9.0,$52.94 / 1KG,https://www.woolworths.com.au/shop/productdetails/317293
Woolworths RSPCA Approved Chicken Breast Fillet Skinless Small 500g - 650g,9.43,$14.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/119259
Woolworths Shortcut Bacon 1kg,11.5,$11.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/55375
D'Orsogna Premium Ham Off The Bone Shaved From The Deli,35.0,$35.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/937258
Woolworths Beef Rump Steak 250g,9.0,$36.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/236846
Woolworths Beef Sizzle Steak 400g,12.0,$30.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/686853
Woolworths Short Cut Bacon 200g,4.0,$20.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/509865
Hans Devon Sliced,9.5,$9.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/48527
Woolworths Pork Mince 800g,8.0,$10.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/169853
Macro Chicken Breast Fillets Free Range 500g - 600g,10.8,$18.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/184628
